Geo,Price_Index,Year,Quarter
ES,141.71,2022,Q2
ES,144.15,2022,Q3
ES,142.99,2022,Q4
FI,73.62,2005,Q1
FI,75.74,2005,Q2
FI,76.97,2005,Q3
FI,78.67,2005,Q4
FI,79.6,2006,Q1
FI,81.41,2006,Q2
FI,81.98,2006,Q3
FI,83.23,2006,Q4
FI,85.08,2007,Q1
FI,86.56,2007,Q2
FI,86.82,2007,Q3
FI,87,2007,Q4
FI,87.88,2008,Q1
FI,88.65,2008,Q2
FI,87.52,2008,Q3
FI,84.19,2008,Q4
FI,86.17,2009,Q1
FI,87.53,2009,Q2
FI,88.85,2009,Q3
FI,90.7,2009,Q4
FI,92.75,2010,Q1
FI,93.56,2010,Q2
FI,94.62,2010,Q3
FI,94.6,2010,Q4
FI,95.84,2011,Q1
FI,97.55,2011,Q2
FI,97.31,2011,Q3
FI,96.76,2011,Q4
FI,98.39,2012,Q1
FI,99.44,2012,Q2
FI,99.36,2012,Q3
FI,99.63,2012,Q4
FI,100.26,2013,Q1
FI,100.68,2013,Q2
FI,100.54,2013,Q3
FI,99.93,2013,Q4
FI,100.06,2014,Q1
FI,100.47,2014,Q2
FI,100.03,2014,Q3
FI,99.42,2014,Q4
FI,99.49,2015,Q1
FI,100.43,2015,Q2
FI,100.28,2015,Q3
FI,99.8,2015,Q4
FI,100.52,2016,Q1
FI,101.61,2016,Q2
FI,101.93,2016,Q3
FI,101.08,2016,Q4
FI,101.7,2017,Q1
FI,103.22,2017,Q2
FI,102.51,2017,Q3
FI,102.12,2017,Q4
FI,102.74,2018,Q1
FI,103.96,2018,Q2
FI,103.49,2018,Q3
FI,103.15,2018,Q4
FI,103.09,2019,Q1
FI,104.68,2019,Q2
FI,104.02,2019,Q3
FI,103.29,2019,Q4
FI,104.28,2020,Q1
FI,105.36,2020,Q2
FI,105.79,2020,Q3
FI,106.95,2020,Q4
FI,108.57,2021,Q1
FI,111.18,2021,Q2
FI,110.92,2021,Q3
FI,111.12,2021,Q4
FI,112.23,2022,Q1
FI,113.81,2022,Q2
FI,112.41,2022,Q3
FI,108.56,2022,Q4
FR,79.81,2005,Q1
FR,83.19,2005,Q2
FR,87.1,2005,Q3
FR,88.77,2005,Q4
FR,90.75,2006,Q1
FR,93.57,2006,Q2
FR,96.46,2006,Q3
FR,97.26,2006,Q4
FR,98.02,2007,Q1
FR,99.74,2007,Q2
FR,101.95,2007,Q3
FR,102.57,2007,Q4
FR,101.95,2008,Q1
FR,102.35,2008,Q2
FR,102.57,2008,Q3
FR,99.19,2008,Q4
FR,95.5,2009,Q1
FR,94.16,2009,Q2
FR,95.68,2009,Q3
FR,95.95,2009,Q4
FR,96.66,2010,Q1
FR,98.6,2010,Q2
FR,101.26,2010,Q3
FR,102.45,2010,Q4
FR,103.13,2011,Q1
FR,105.14,2011,Q2
FR,107.28,2011,Q3
FR,106.28,2011,Q4
FR,104.87,2012,Q1
FR,104.94,2012,Q2
FR,105.61,2012,Q3
FR,104.1,2012,Q4
FR,102.83,2013,Q1
FR,102.73,2013,Q2
FR,103.64,2013,Q3
FR,102.52,2013,Q4
FR,101.33,2014,Q1
FR,101.53,2014,Q2
FR,102.29,2014,Q3
FR,100.28,2014,Q4
FR,99.38,2015,Q1
FR,99.55,2015,Q2
FR,100.92,2015,Q3
FR,100.15,2015,Q4
FR,99.73,2016,Q1
FR,100.24,2016,Q2
FR,102.36,2016,Q3
FR,101.84,2016,Q4
FR,102.53,2017,Q1
FR,103.53,2017,Q2
FR,105.65,2017,Q3
FR,105.24,2017,Q4
FR,105.51,2018,Q1
FR,106.42,2018,Q2
FR,108.65,2018,Q3
FR,108.58,2018,Q4
FR,108.55,2019,Q1
FR,109.85,2019,Q2
FR,112.33,2019,Q3
FR,112.69,2019,Q4
FR,113.87,2020,Q1
FR,115.52,2020,Q2
FR,117.8,2020,Q3
FR,119.27,2020,Q4
FR,120.15,2021,Q1
FR,122.12,2021,Q2
FR,126.11,2021,Q3
FR,127.52,2021,Q4
FR,128.6,2022,Q1
FR,130.83,2022,Q2
FR,134.34,2022,Q3
FR,133.73,2022,Q4
HR,123.19,2008,Q1
HR,124.01,2008,Q2
HR,126.34,2008,Q3
HR,123.02,2008,Q4
HR,122.58,2009,Q1
HR,118.48,2009,Q2
HR,116.37,2009,Q3
HR,114.28,2009,Q4
HR,112.07,2010,Q1
HR,110.49,2010,Q2
HR,109.52,2010,Q3
HR,109.8,2010,Q4
HR,108.81,2011,Q1
HR,110.53,2011,Q2
HR,111.31,2011,Q3
HR,111.99,2011,Q4
HR,111.36,2012,Q1
HR,109.86,2012,Q2
HR,109.09,2012,Q3
HR,105.4,2012,Q4
HR,105.28,2013,Q1
HR,104.63,2013,Q2
HR,104.97,2013,Q3
HR,103.63,2013,Q4
HR,102.94,2014,Q1
HR,103.82,2014,Q2
HR,103,2014,Q3
HR,102.14,2014,Q4
HR,101.05,2015,Q1
HR,99.13,2015,Q2
HR,99.86,2015,Q3
HR,99.96,2015,Q4
HR,101.21,2016,Q1
HR,100.28,2016,Q2
HR,101.31,2016,Q3
HR,100.75,2016,Q4
HR,100.85,2017,Q1
HR,104.55,2017,Q2
HR,105.13,2017,Q3
HR,108.45,2017,Q4
HR,109.44,2018,Q1
HR,109.26,2018,Q2
HR,112.32,2018,Q3
HR,113.54,2018,Q4
HR,117.55,2019,Q1
HR,120.6,2019,Q2
HR,121.36,2019,Q3
HR,124.9,2019,Q4
HR,128.25,2020,Q1
HR,130.57,2020,Q2
HR,129.75,2020,Q3
HR,132.95,2020,Q4
HR,134.19,2021,Q1
HR,139.03,2021,Q2
HR,141.44,2021,Q3
